"id","idCoin","openTime","open","high","low","close","volume","closeTime","quoteAssetVolume","numberOfTrader","takerBuyBaseAssetVolume","takerBuyQuoteAssetVolume","ignore","created_at","updated_at"
"2850994","410","1667894400000","19796.9000000000","19801.3900000000","19663.0300000000","19729.9000000000","18421.6522900000","1667897999999","363472549.8158887000","395167","8974.2616300000","177073957.7364394000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2850995","410","1667898000000","19729.9000000000","19794.3000000000","19695.4600000000","19776.3300000000","13578.0342700000","1667901599999","268215286.5655190000","298298","6810.6713600000","134541384.9632392000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2850996","410","1667901600000","19775.8000000000","19786.3100000000","19649.1400000000","19690.2500000000","12789.2246400000","1667905199999","252313961.9592781000","295084","6257.1330900000","123449538.3558612000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2850997","410","1667905200000","19690.2500000000","19736.8300000000","19580.3300000000","19699.0400000000","16578.5959200000","1667908799999","326376972.5256058000","355567","8276.3996400000","162939413.1573162000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2850998","410","1667908800000","19699.0400000000","19746.7800000000","19645.6600000000","19722.3200000000","12839.3608900000","1667912399999","252923891.7103167000","314195","6452.4783500000","127116850.9037192000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2850999","410","1667912400000","19723.2100000000","19727.3500000000","19500.0100000000","19554.7600000000","15979.8438500000","1667915999999","313916377.9722716000","345758","7622.8862700000","149766234.7117295000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851000","410","1667916000000","19554.7600000000","19650.0000000000","19306.1200000000","19412.3200000000","39202.7392300000","1667919599999","763826135.5068426000","742641","19278.5401200000","375651664.5517221000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851001","410","1667919600000","19416.8500000000","19530.0000000000","19229.0000000000","19520.9700000000","29105.8008200000","1667923199999","564492038.2321975000","604305","14656.4659500000","284279687.1111408000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851002","410","1667923200000","19522.0000000000","20700.8800000000","19481.1400000000","20371.0600000000","70341.1009400000","1667926799999","1421503533.0397919000","1119999","35918.4833400000","725760669.7812156000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851003","410","1667926800000","20369.5800000000","20438.7700000000","19324.9900000000","19342.6700000000","49445.2884800000","1667930399999","982603786.7662257000","955265","23694.5935000000","470935153.0095442000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851004","410","1667930400000","19342.6700000000","19550.0000000000","18386.0000000000","18600.5100000000","82580.7607400000","1667933999999","1558072158.2398963000","1273450","41276.7397100000","778708066.4605396000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851005","410","1667934000000","18600.5100000000","18723.4200000000","17166.8300000000","18256.6400000000","82344.5440530000","1667937599999","1495444404.1898055100","1330791","40342.8850450000","733022428.1477664500","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851006","410","1667937600000","18255.2400000000","18489.8000000000","17810.4900000000","18159.7700000000","42296.9844900000","1667941199999","769677949.0164671000","773307","20666.8562900000","376168996.2009976000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851007","410","1667941200000","18159.7700000000","18719.7300000000","18135.0000000000","18702.2200000000","21797.2221400000","1667944799999","401555608.3216326000","564993","11172.4522200000","205869319.5421804000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851008","410","1667944800000","18700.7900000000","18730.0000000000","18377.4000000000","18459.6800000000","13602.7327500000","1667948399999","252477660.0289436000","416396","6672.3394700000","123846660.6438938000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851009","410","1667948400000","18459.6800000000","18645.8900000000","18370.0000000000","18547.2300000000","15045.3737700000","1667951999999","278465138.0531192000","406936","7871.0866400000","145684981.4621763000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851010","410","1667952000000","18545.3800000000","18587.7600000000","18325.0000000000","18335.7600000000","20443.3101100000","1667955599999","377621263.7536340000","445032","10197.2336700000","188358872.0030137000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851011","410","1667955600000","18334.3900000000","18495.0000000000","18293.3600000000","18322.4400000000","22204.1046700000","1667959199999","408635004.7145279000","438097","11159.1440200000","205388655.8097778000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851012","410","1667959200000","18321.4600000000","18428.3000000000","18113.7300000000","18127.9400000000","20307.8493200000","1667962799999","371503391.3865229000","429110","10103.2067300000","184825464.6036113000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851013","410","1667962800000","18127.9400000000","18345.0100000000","18000.0000000000","18313.6800000000","28478.6598900000","1667966399999","517497877.1839181000","530164","14204.9626500000","258152648.0339769000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851014","410","1667966400000","18313.6800000000","18391.4600000000","18193.7400000000","18256.1100000000","19018.3150300000","1667969999999","347881562.8739719000","403416","9031.2469500000","165215999.0807454000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851015","410","1667970000000","18256.0900000000","18517.5800000000","18173.0900000000","18401.1500000000","21757.6036800000","1667973599999","399179073.4369525000","436344","9718.7820800000","178322562.5527681000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851016","410","1667973600000","18401.1500000000","18459.7900000000","18292.6200000000","18304.3500000000","15973.7386200000","1667977199999","293701563.0554868000","372282","8009.9009000000","147283639.7019625000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851017","410","1667977200000","18304.3500000000","18354.2800000000","18202.5900000000","18240.7200000000","17110.5515800000","1667980799999","312900257.8929243000","397409","8481.8764300000","155116235.0764981000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851018","410","1667980800000","18239.3400000000","18256.8500000000","18041.1700000000","18150.6000000000","25168.8661500000","1667984399999","456598185.0950988000","522765","12335.7422400000","223798364.6595623000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851019","410","1667984400000","18152.2700000000","18156.8200000000","17623.0400000000","17763.9900000000","44433.7158600000","1667987999999","794240787.9732436000","737271","21750.2299100000","388803936.6576710000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851020","410","1667988000000","17763.6800000000","17870.3300000000","17250.3300000000","17689.3000000000","58740.8997400000","1667991599999","1030673237.3990360000","895603","29342.1387700000","514967892.1964827000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851021","410","1667991600000","17689.3000000000","17884.0000000000","17552.3900000000","17818.0800000000","24099.9056000000","1667995199999","426971093.4628840000","532755","12218.9754500000","216512320.7996988000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851022","410","1667995200000","17817.0700000000","18015.0000000000","17417.7900000000","17619.8500000000","36592.8528600000","1667998799999","650538203.4538371000","688898","18320.9179300000","325791690.4024758000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851023","410","1667998800000","17617.8400000000","17713.6400000000","17298.9000000000","17582.2400000000","31960.9954300000","1668002399999","559707090.9688397000","623958","15827.3007000000","277204776.0307622000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851024","410","1668002400000","17582.2400000000","17816.3900000000","17361.5100000000","17649.6200000000","30529.0231700000","1668005999999","536849958.2362882000","581405","15436.5763800000","271500205.1626742000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851025","410","1668006000000","17649.6200000000","17834.9900000000","16918.8300000000","17116.0800000000","55944.9020540000","1668009599999","971154820.9260714600","909567","27004.6755800000","468999230.2853304000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851026","410","1668009600000","17119.6100000000","17333.3300000000","16857.0000000000","17084.9200000000","45996.7973670000","1668013199999","788607243.7592348000","741687","22973.6106600000","393936840.3847036000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851027","410","1668013200000","17084.9400000000","17225.8600000000","16800.0000000000","16957.6600000000","27894.0512580000","1668016799999","475073822.1537573800","512467","13367.5290100000","227733333.0046977000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851028","410","1668016800000","16954.9400000000","17021.9800000000","16441.5300000000","16602.5300000000","39031.7917080000","1668020399999","652561280.1132502000","702246","18277.8108500000","305657858.6666186000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851029","410","1668020400000","16602.5300000000","17025.1800000000","16590.0000000000","16784.6400000000","24522.5736100000","1668023999999","412558881.4544837000","493737","12370.3151500000","208105701.9766310000","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
"2851030","410","1668024000000","16784.6400000000","16900.0000000000","16112.0000000000","16237.7900000000","32926.5809600000","1668027599999","543215679.4770930600","577892","15570.3795400000","257031723.6149020100","0.0000000000","2023-05-07 14:23:22","2023-05-07 14:23:22"
